data,time,value.rxInfo.0.rssi,,
5/27/2023,17:33:35,-93,,
5/27/2023,17:43:35,-109,,
5/27/2023,17:53:35,-107,,
5/27/2023,18:03:35,-112,,
5/27/2023,18:13:35,-107,,
5/27/2023,18:33:35,-117,,
5/27/2023,18:43:36,-94,,
5/27/2023,19:03:36,-103,,
5/27/2023,19:13:37,-105,,
5/27/2023,19:23:36,-114,,
5/27/2023,19:33:36,-114,,
5/27/2023,20:03:37,-113,,
5/27/2023,20:13:37,-101,,
5/27/2023,20:23:37,-112,,
5/27/2023,20:33:37,-107,,
5/27/2023,20:43:37,-114,,
5/27/2023,20:53:37,-113,,
5/27/2023,21:23:38,-113,,
5/27/2023,21:43:38,-111,,
5/27/2023,21:53:38,-109,,
5/27/2023,22:03:38,-112,,
5/27/2023,22:13:39,-105,,
5/27/2023,22:43:39,-113,,
5/27/2023,22:53:40,-107,,
5/27/2023,23:03:39,-111,,
5/27/2023,23:13:40,-113,,
5/27/2023,23:23:40,-114,,
5/27/2023,23:33:40,-105,,
5/27/2023,23:53:40,-117,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
